PartNo,Description,Logic,Category
GH98-39490C,ASSY CASE-REAR_ZW
GH96-10623A,ASSY METAL FRONT UNIT-SUB_ZK
GH82-13638A,SVC COVER ASSY-BACK GLASS_OPEN SS_SEVT(Z
GH43-04680A,"INCELL BATTERY PACK-EB-BA520ABE,3000,30"
GH02-14012A,TAPE DOUBLE FACE-BATTERY
GH98-34587C,ASSY BRACKET-LCD_ZD
GH97-16679B,SVC ASSY SMT-OCTA (E/BLK)
GH81-13675A,"A/S-OCTA CU REWORK SHEET;SM-J320F,OCTA C"
GH81-13042A,"A/S-SVC REPAIR TAPE OUTLINE;SM-G361F,3M"
GH43-04157B,INNER BATTERY PACK-BATTERY
GH97-20738C,SVC ASSY SMT-OCTA(E/GOLD)SM-J530
GH02-14961A,TAPE SPONGE-LCD CAP
GH97-17679A,"SVC ASSY SMT-OCTA,(E/BLK)"
GH97-18748A,"SVC ASSY SMT-OCTA,(SVC/E/WHT),SM-J320F"
GH98-41134A,ASSY CASE-REAR MIDDLE
GH97-14694B,"SVC ASSY SMT-OCTA (E/BLK),GT-I9505"
GH82-07269A,SVC PBA-PBA MAIN(COMM)GT_I9505/M16;GT-I9
GH98-27419A,ASSY CASE-REAR(S-GRADE)
GH59-13081A,MODULE-SPEAKER(GT_I9505)
GH59-13083A,MODULE-SUB PBA+SENSOR FPCB(GT_I9505)
GH43-03833A,"INNER BATTERY PACK-B600BE,2600MAH"
GH98-27423B,ASSY COVER-BATT(S-GRADE)
GH39-01578B,"DATA LINK CABLE-USB CABLE, 3.3PI, 1M, WH"
GH98-41314C,ASSY CASE-FRONT_ZD
GH82-14576C,SVC COVER ASSY-SVC REAR COMMON TYPE1_SS_
GH81-14737A,A/S-TOUCH KEY OCTA TAPE
GH02-14894A,TAPE DOUBLE FACE-OCTA TOP
GH02-14896A,TAPE DOUBLE FACE-OCTA BTM
GH02-15025A,TAPE ETC-HR BRACKET
GH96-09079A,ASSY REAR UNIT-SM_G928F_EUR_ZD
GH96-09545A,"ASSY CAMERA-MODULE_8M_1/4""_SM-J320F"
GH97-18911B,SVC ASSY SMT-OCTA (E/WHT)_SM-T819
GH82-11936B,SVC COVER ASSY-REAR_T819(EUR/SEV)_ZW;SM-
GH81-13867A,"A/S TAPE-MAIN_ONE_SHEET_T819;SM-T819,YT-"
GH81-12997A,A/S-SVC_TOUCH_TOP TAPE_RECENT_BACK
GH02-10947A,CONDUCTIVE GASKET-TAPE_OCTA_FPCB_EMI
GH82-10236A,"SVC PBA-PBA MAIN(COMM/5.0)G925F/M32,SV;S"
GH98-35872A,ASSY SIM TRAY
6001-003226,SCREW-MACHINE
GH98-39054B,ASSY CASE-REAR (LTE/ZD)_SS
GH98-39052B,ASSY COVER-BATT (LTE/ZD)_SS
GH82-13638B,SVC COVER ASSY-BACK GLASS_OPEN SS_SEVT(Z
GH82-13664A,SVC CASE ASSY-FRONT(ZK)
GH96-10448A,ASSY US FP-SM-A520F
GH82-13636C,SVC COVER ASSY-BACK GLASS_A320FL_ZB
GH96-10448C,"HOME KEY ASSY-SM-A520F_BLUE;SM-A520F,EUR"
GH82-09550C,SVC COVER ASSY-B/GLASS
GH96-08583D,ASSY REAR UNIT-EU(BYD)_ZB
GH96-08166D,ASSY US FP-SM_G920F (BLUE)
GH97-16565A,"SVC ASSY SMT-OCTA (E/WHT),SM-N910F"
GH96-07482A,"ASSY CAMERA-MODULE 16M AF 1/2.6"" SM-N910"
GH97-18249A,"SVC ASSY SMT-OCTA,(E/WHT),SM-A310F"
GH82-13122A,SVC CASE ASSY-FRONT(BLK)
GH96-08225A,"ASSY CAMERA-MODULE 16M AF 1/2.6"" SM-G920"
GH96-10623B,ASSY METAL FRONT UNIT-SUB_ZD
GH81-13603A,"A/S-TAPE BRK BATTERY_SVC;SM-A310F,YT-670"
GH81-13579A,A/S-SUB PBA TOP TAPE
GH98-39741B,ASSY COVER-BATT-LTE_SAM_ZK
